combine,sigma_target,lev_max,CAGR,MDD,Sharpe,Calmar,avg_exposure,final_mult
and,0.35,1.0,0.1434,-0.4335,0.599,0.331,0.33,9.3
and,0.5,1.0,0.1784,-0.5832,0.603,0.306,0.462,15.36
and,0.7,1.0,0.1929,-0.6826,0.601,0.283,0.575,18.84
or,0.35,1.0,0.2239,-0.6044,0.772,0.37,0.415,31.55
or,0.5,1.0,0.2898,-0.7468,0.777,0.388,0.583,77.21
or,0.7,1.0,0.3355,-0.8356,0.783,0.402,0.734,140.05
ma_only,0.35,1.0,0.2235,-0.5206,0.783,0.429,0.398,31.38
ma_only,0.5,1.0,0.2916,-0.6605,0.789,0.441,0.56,79.07
ma_only,0.7,1.0,0.3433,-0.747,0.798,0.46,0.704,154.57
tsm_only,0.35,1.0,0.147,-0.4894,0.599,0.3,0.348,9.8
tsm_only,0.5,1.0,0.1814,-0.6302,0.603,0.288,0.488,16.02
tsm_only,0.7,1.0,0.1914,-0.7383,0.597,0.259,0.607,18.44
SOXL_buyhold,,,0.4195,-0.9046,0.844,0.464,1.0,339.02
